plot,true_genres,predicted_genres
"['After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.::Kenneth Chisholm', 'The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways. Fred, Daphne, Velma, Shaggy and Scooby soon realize that they cannot solve this mystery without help from each other.::Doug_Funnie', ""Well Zoinks! They're back together again!! After two years apart, Mystery, Inc. are back together and ready to solve the mystery of Spooky Island. Spooky Island is a resort run by one Mr. Emile Mondavarious, who is having troubles with what he believes are real spooks. This is bad for business, when it gets around and threatens to send the guests scattering back to the mainland. Mondavarious convinces the gang that they are needed and should work together. But is the island really haunted, or is there just a sinister individual behind all the ride malfunctions and creepy, crawly creatures? If so, who could it be?::SindyMac"", 'Mystery Inc. (Daphne, Fred, Velma, Shaggy, and Scooby Doo) has broken up; on the grounds of who has been solving their cases. After two years seperated, they are mysteriously joined together to solve a case on Spooky Island. A theme park owned by a man named, Mondavarious. He needs their help, figuring out why the vacationers are leaving mellow and sober. But it seems they are brought back as one for more than just solving a case.::Rachel <DaphShagFredVelmScoob>']","Adventure, Comedy, Family, Fantasy, Mystery","Family, Fantasy, Mystery"
"['When one of their own is kidnapped by an angry gangster, the Wolf Pack must track down Mr. Chow, who has escaped from prison and is on the run.::mystic80', ""In the aftermath of the death of Alan's father, the wolfpack decide to take Alan to get treated for his mental issues. But things start to go wrong on the way to the hospital as the wolfpack is assaulted and Doug is kidnapped. Now they must find Mr. Chow again in order to surrender him to the gangster who kidnapped Doug in order to save him.::HeWhoShallNotBeNamed"", ""The further (mis)adventures of the Wolfpack. It begins when Alan's outlandish behavior drives his father to death (literally). And he doesn't appreciate the gravity of the whole thing. So his family decides to send him to a place in Arizona where he can get help. So they ask his friends, Phil and Stu to be there when they tell him and convince him to go. So Phil, Stu, Doug and Alan drive to Arizona. On the way, they're forced off the road and abducted. The man who abducted them tells them that he grabbed them because he wants them to bring to him, their frenemy, Mr. Chow. It seems that Chow has gone underground and no one knows where he is. But it appears that he and Alan correspond with each other. So the man takes Doug and tells them to find Chow and bring him to him. Eventually he contacts Alan and they go to get him but he knows what they are doing. So he agrees to let them bring him to the man but first they need to break into the house to get something Chow needs to appease the man. But he double crosses them and they end up in jail.::rcs0411@yahoo.com"", ""Alan Garner's latest mishap with his new pet giraffe gets him in some very deep trouble. So deep that his father has a heart attack and dies in the middle of lecturing Alan about owning up to his mistakes. While at the funeral, the Wolfpack reunites. Alan's mother informs them that he has gone off his ADHD medication and is completely out of control. So the four of them stage an intervention and send Alan to a rehab facility in Arizona. On the way there, their car is rammed off the road by a guy named Marshall. It turns out that very night four years ago when Alan bought roofies on the night of Doug's bachelor party, he inadvertently stalled a gold heist worth $42 million. Marshall wants it back, and has kidnapped Doug in order to send a message to the Wolfpack. Their mutual acquaintance Leslie Chow, who made off with half that gold, that very night, has escaped from a Thai prison and has headed back to North America. But it appears that only Alan knows the location of where Mr. Chow is headed. And that sends the Wolfpack to Tijuana, Mexico, and then back to Las Vegas. Can he foil the plot and make everything right for the Wolfpack? And will Alan finally meet his dream girl?::halo1k"", ""Having proved that his social ineptness is dangerous beyond belief, the Wolf Pack's perpetual fourth wheel, off-his-meds Alan, is on his way to get treatment at a rehabilitation facility in Arizona. Along with Phil, Stu, and Doug, the mismatched quartet hits the road, when suddenly, they're kidnapped by the menacing crime boss, Marshall, for reasons that date back to The Hangover (2009), and the boys' first visit in Las Vegas. But, it's been only two years since the Thai mayhem in The Hangover Part II (2011), and now, the best friends have three short days to find the whereabouts of the conniving thief, Mr Chow, and a mountain of stolen gold bullion worth millions of dollars. This time, everything ends where it all began. Will the accident-prone Wolf Pack make the same mistakes twice, and live to tell the tale?::Nick Riganas""]","Comedy, Crime","Crime, Thriller"
"['Can we reverse climate change? Ice on Fire explores the many ways we reduce carbon inputs to the atmosphere and, more important, how to ""draw"" carbon down, bringing CO2 out of the atmosphere and thus paving the way for global temperatures to go down. Reversing climate change is urgent, given that the world passed 400 parts per million CO2 in the atmosphere resulting in climate instability across the globe. We have heard the predictions but now climate related events are a daily reality - summer 2018 was the hottest on record, storms are stronger, droughts are longer, the arctic ice is thin or non-existent and antarctica is melting faster than predicted. Through visiting visionaries and scientists young and old, the film explores the deep hope that we can turn away from the brink. And, just as we figure out drawdown, we face an added complexity, the release of methane, a powerful greenhouse gas in the arctic, that is now entering the atmsphere. As the film says: ""Is it game over? Or is it game on? As we have at hand, the ability, the capacity, and solutions that can reverse global warming...not mitigate, not reduce, not stabilize, but reverse.\'']",Documentary,Sci-Fi
['Follows the inhabitants of a fictional building in Spain.'],"Comedy, Romance","Comedy, Drama"
"['A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.::Kenneth Chisholm', '""But if you forget to come back for Madame Zeroni, you and your family will be cursed for always and eternity."" Those were the exact words spoken to young Elya Yelnats the day he forgot to repay Madame Zeroni. From then on his family was cursed with bad luck. One hundred years later Stanley Yelnats IV is accused of stealing a pair of cleats from a major league baseball player and sent to Camp Green Lake (a dry lake bed in the middle of the desert). It never rains at Camp Green Lake, it hasn\'t for one hundred years. The secretive and mysterious Warden has each inmate spend every day digging one hole to ""build character."" But when an artifact from the famous ""Kissin\' Kate"" Barlow is found in a hole, the Warden forces the boys to work double time leading Stanley to deduce they\'re digging because the Warden is looking for something. But what? And how is the mystery of Camp Green Lake connected to Stanley\'s family curse?::O.G.', ""When Stanley Yelnats IV (LaBeouf) is wrongfully convicted of stealing, he is sent to 'Camp Green Lake'. At this camp, the Warden (Weaver), and her two henchman, Mr. Sir (Voight) and Dr. Pendanski (Nelson) command the campmates to dig holes after hole after hole. But for what reason? Stanley plans to find out.::FilmFanUK"", ""Stanley Yelnats IV is falsely accused of stealing Clyde 'Sweet Feet' Livingston's shoe donation to a local orphanage and will either go to jail or Camp Green Lake. Stanley chooses Green Lake, where he is forced to dig large holes in the desert each day, by order of the mysterious Warden and her assistants Mr. Sir and Mr. Pendanski. But what the Warden is really trying to do is find a buried treasure that was cracked murderer Kissin' Kate Barlow's fortune long ago. But when Stanley and his friend Zero escape, things get really bad.::Michael Makowsky <mikeace9@aol.com>""]","Adventure, Comedy, Drama, Family, Mystery","Horror, Mystery"
"['A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.', ""The year is 1795 and young Jane Austen (Anne Hathaway) is a feisty twenty-year-old and emerging writer who already sees a world beyond class and commerce, beyond pride and prejudice, and dreams of doing what was then nearly unthinkable, marrying for love. Naturally, her parents are searching for a wealthy, well-appointed husband to assure their daughter's future social standing. They are eyeing Mr. Wisley (Laurence Fox), nephew to the very formidable, not to mention very rich, local aristocrat Lady Gresham (Dame Maggie Smith), as a prospective match. But when Jane meets the roguish and decidedly non-aristocratic Tom Lefroy (James McAvoy), sparks soon fly along with the sharp repartee. His intellect and arrogance raise her ire, then knock her head over heels. Now, the couple, whose flirtation flies in the face of the sense and sensibility of the age, is faced with a terrible dilemma. If they attempt to marry, they will risk everything that matters - family, friends, and fortune.::Orange"", ""In 1795, cocky, witty, handsome, Limerick-born lawyer Tom Lefroy (James McAvoy) is sent by his grim uncle and benefactor, rich-born snobbish London hanging Judge Langlois (Ian Richardson), to relatives' Hampshire country estate. His sharp mind and attitude initially clash with local Reverend Austen's (James Cromwell's) rebellious daughter Jane (Anne Hathaway). But soon they prefer each-other to the expected better-off fiancÃ©s, and must wrestle their families and society at large or sacrifice their budding love. Beloved relatives further complicate the romantic picture.::KGF Vissers"", 'This is an inspirational movie about the life of Jane Austen (Anne Hathaway), chronicling her romance with a young Irishman, Tom Lefroy (James McAvoy). It focuses mostly on the way that he influenced her life and became the inspiration for her writing that we all know and love today. Jane Austen and Tom Lefroy are both, in a sense, non-conformists, and Austen\'s typical ""no marriage without affection"" is put on display as she rejects the Mr. Wisley (Laurence Fox) that society expects her to marry. This movie invites you to witness how Austen and Lefroy\'s initial obvious disdain for each other and their shared roguish repartee transforms into a vehement love for each other that goes against the conventional expectations of society.::Shaina Ong']","Biography, Drama, Romance","Comedy, Drama, Romance"
"['Tinker Bell journey far North of Never Land to patch things up with her friend Terence and restore a Pixie Dust Tree.::Anonymous', ""Entrusted with the mystical moonstone--the very source of the fairies' magic--the always kind and well-meaning fairy, Tinker Bell, has to make sure that the precious pixie dust remains in ample supply. For the first time in eight years, the magnificent Blue Harvest Moon in this year's Autumn Revelry will invigorate the treasured Pixie Dust Tree; however, an innocent mistake will send Tink on a very important secret mission. Now, only the power of friendship and little Tinker Bell's determination can save Pixie Hollow. Will everything work out?::Nick Riganas""]","Adventure, Animation, Family, Fantasy","Animation, Family, Fantasy"
"['The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.::NicolÃ© Lunge', ""College student Jeffrey Beaumont returns to his idyllic hometown of Lumberton to manage his father's hardware store while his father is hospitalized. Walking though a grassy meadow near the family home, Jeffrey finds a severed human ear. After an initial investigation, lead police Detective John Williams advises Jeffrey not to speak to anyone about the case as they investigate further. Detective Williams also tells Jeffrey that he cannot divulge any information about what the police know. Detective Williams' high school aged daughter, Sandy Williams, tells Jeffrey what she knows about the case from overhearing her father's private conversations on the matter: that it has to do with a nightclub singer named Dorothy Vallens, who lives in an older apartment building near the Beaumont home. His curiosity getting the better of him, Jeffrey, with Sandy's help, decides to find out more about the woman at the center of the case by breaking into Dorothy's apartment while he knows she's at work. What Jeffrey finds is a world unfamiliar to him, one that he doesn't truly understand but one that he is unable to deny the lure of despite the inherent dangers of being associated with a possible murder. Still, he is torn between this world and the prospect of a relationship with Sandy, the two who are falling for each other, despite Sandy already being in a relationship with Mike, the school's star football player.::Huggo"", ""A man returns to his home town after being away and discovers a severed human ear in a field. Not satisfied with the police's pace, he and the police detective's daughter carry out their own investigation. The object of his investigation turns out to be a beautiful and mysterious woman involved with a violent and perversely evil man.::Mark Logan <marklo@west.sun.com>"", ""Returning home to visit his father who is in intensive care at the hospital, Jeffrey Beaumont stumbles upon a human ear he finds in a field. With local police detective Williams and the local police department unable to investigate, Jeffrey and Sandy, Detective Williams's daughter decide to do their own investigation. But what Jeffrey and Sandy's investigation leads them to discover that a dark underworld exists in their hometown. Jeffrey becomes suspicious of nightclub singer Dorothy Vallens, who is involved with Frank Booth, a violent and evil man.::Daniel Williamson"", 'After finding a severed human ear in a field, a young man soon discovers a sinister underworld lying just beneath his idyllic suburban home town.::Benjamin Conway']","Drama, Mystery, Thriller","Drama, Mystery, Thriller"
"['Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure in this post-apocalyptic action thriller.::Shannon Patrick Sullivan <shannon@mun.ca>', ""Robert Neville (Will Smith) is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made in this post-apocalyptic action thriller. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone. Mutant victims of the plague - the Infected - lurk in the shadows - watching Neville's every move - waiting for him to make a fatal mistake. Perhaps mankind's last, best hope, Neville is driven by only one remaining mission: to find a way to reverse the effects of the virus using his own immune blood. But he knows he is outnumbered - and quickly running out of time.::Warner Bros. Pictures"", ""A virus that was created for the purpose of battling cancer and it's administered to those with cancer, and it looked promising. But a few years later, it mutated into plague that kills most of the people on Earth or turns them into creatures, There are a few who are immune. Amongst them is military scientist Robert Neville (Will Smith), who has spent the last three years after the plague decimated humanity trying to find a cure. But he is losing hope until two others who are also immune show up.::rcs0411@yahoo.com"", ""Adapted from acclaimed author Richard Matheson's influential novelette of the same name, this movie follows the last man on Earth as he struggles to survive while fending off the infected survivors of a devastating vampire plague. A brilliant scientist who raced to discover a cure for the man-made virus as humanity came crumbling down all around him, Robert Neville (Will Smith) was inexplicably immune to the highly contagious super-bug. Now the entire population of New York City - and perhaps the world - has been transformed into carnivorous bloodsuckers that fear the light and live solely to spread their contagion to any remaining living creature that crosses their path. It's been three years since civilization came to an end, and the loneliness has taken a devastating toll on Neville. By day, he scours the city for food and supplies while sending out desperate radio messages in hopes that someone might respond, and by night, he attempts to find a way to reverse the effects of the virus by experimenting with his own blood. But time is running out for Neville as the legions of infected watch his every move from the safety of the shadows, waiting for the perfect moment to strike. They, too, long to learn the secret that lurks in Neville's blood, though they will have to take caution while attempting to procure it because Neville will sooner die attempting to slay every last one of them than willingly giving up a single drop.::ahmetkozan"", ""Meandering through a barren and ravaged post-apocalyptic Manhattan rendered uninhabitable by a virulent genetically mutated plague, the brilliant virologist and sole survivor, Robert Neville, still hopes to find signs of life, three long years after the devastating outbreak. When the sun is high, the resilient doctor along with his trusted German Shepherd, Samantha, comb the deserted streets scavenging for food, as the cure for the ravenous mutants, that were once humans, is still out of reach. However--vastly outnumbered, scared to death, yet determined to prevail--Robert knows that, sooner or later, there will be no place to hide; then, the only living man in New York will have to make his tragic and heroic last stand against the dangerously resourceful adversary. Is Dr Neville humanity's last hope?::Nick Riganas"", 'It is the year 2012. In the ruins of New York city. Dr. Robert Neville (Will Smith), who is a military scientist, who is the lone survivor of a biochemical disease which was supposed to cure cancer three years previous. With only blood thirsty zombies as his neighbors and his trusty dog, Samantha, Robert is trying to discover a cure for this disease and to find out any other people who might have also survived.::John Wiggins']","Action, Adventure, Drama, Sci-Fi, Thriller","Action, Sci-Fi"
"[""Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death.::Anonymous"", 'Bangkok. Ten years ago Julian (Ryan Gosling) killed a man and went on the run. Now he manages a Thai boxing club as a front for a drugs operation. Respected in the criminal underworld, deep inside, he feels empty. When Julian\'s brother murders an underage prostitute, the Police call on retired cop Chang (Vithaya Pansringarm) - the Angel of Vengeance. Chang allows the father to kill his daughter\'s murderer, then ""restores order"" by chopping off the man\'s right hand. Julian\'s mother Crystal (Dame Kristin Scott Thomas) - the head of a powerful criminal organization - arrives in Bangkok to collect her son\'s body. She dispatches Julian to find his killers and ""raise Hell"".::www.joblo.com', ""After the gruesome murder of a sixteen-year-old Thai prostitute in the ghastly Thailand underworld and the death of her murderer, Billy (Tom Burke), the deceased's brother and owner of a corrupt Bangkok Muay Thai club, Julian (Ryan Gosling), must deal with his icy mother, Crystal (Dame Kristin Scott Thomas), who commands retribution. But the man behind Billy's killing is the invincible Angel of Vengeance, the katana-wielding Chang (Vithaya Pansringarm), who is playing on his own turf, enforcing payback and his own kind of speedy justice. Crystal wants the killer's head on a platter. However, who can stand in the way of Chang's irreversible course of revenge?::Nick Riganas""]","Action, Crime, Drama","Action, Crime, Thriller"
['Documentary that reflects on the fathers who sons have disappeared in the last dictatorship in Argentina.::Pablo'],Documentary,Documentary
"['In 1785, Jean-Franois de la Plaine is appointed by the King governor in West Africa, in a period when slavery was the rule.::Philippe BERTHE <aerospat@pobox.oleane.com>']","Adventure, Drama","Biography, Drama, History"
"['Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.::Sony Pictures Entertainment', 'The next installment in the blockbuster franchise, UNDERWORLD: BLOOD WARS follows Vampire death dealer, Selene (Kate Beckinsale) as she fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David (Theo James) and his father Thomas (Charles Dance), she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.::Sony Pictures Entertainment', ""The war between the Vampires and the Lycans wages on with the Lycans led by Marius are close to defeating the Vampires. He thinks if he can get the hybrid daughter of Vampire Death Dealer Selene, her blood will be the key to defeating the Vampires once and for all. But when they attempt to capture her, they fail and she tells one of them to tell Marius, she doesn't know where her daughter is; her daughter has cut ties with her. At the same time, Semira, Vampire Elder implores Thomas, another elder and father of David, Selene's ally to convince the Council of Elders to give Selene whom they deem a traitor, amnesty so that she could train new Death Dealers to deal with the Lycans. They grant it and send word to Selene who comes and trains the aspiring Death Dealers. It's when she battles one of Semira's people, that he subdues her with a toxin that paralyzes her. Semira then has her man kill the trainees with Selene's weapon. She then reveals she wants Selene for her blood. Eventually David learns of what Semira is doing and tries to get Selene away and takes her way to the only other Vampire stronghold there is. Eventually Marius learns of this and sets out to find Selene and find out for sure if she knows where her daughter is. And it's while they are there at the stronghold that David learns the truth about his lineage.::rcs0411@yahoo.com"", ""The outcast Selene is hunted down by the Lycans led by the powerful Marius that wants her daughter Eve and by the vampires seeking revenge for the death of Viktor and Marcus. Out of the blue, she is attacked by Lycans but David helps her but is wounded. Meanwhile, the ambitious vampire Semira convinces David's father Thomas to plead to Cassius and the council of their coven to forgive the skilled Selene to train the new Death Dealers. He succeeds, but Selene and David are betrayed by Semira and her lover Vargas and David witnesses Semira killing his father. They have to flee to seek shelter at the Nordic Coven Vador where David learns the truth about his mother. When the sanctuary is invaded by Marius and the Lycans, Selene fights Marius that wants to know Eve's whereabouts. Who will win the fight?::Claudio Carvalho, Rio de Janeiro, Brazil"", ""After unearthing the well-planned Lycan conspiracy in Underworld Awakening (2012), Selene finds herself caught in the middle of an ancient war, hunted down like prey by both the Lycan leader, Marius, and her former brothers-in-arms, the betrayed Death Dealers. More than ever, after the destruction of the once-powerful Western Coven, Selene, too, has to find her missing pure-blood hybrid daughter, Eve--whose vital blood can create an invincible army--before the hunters of both species find her first. Now, the Lycans, who have regrouped and replenished in the meantime, head to destroy the Vampire Clan's final sanctuary. Who can stand in their way?::Nick Riganas""]","Action, Adventure, Fantasy, Horror","Action, Fantasy"
"['A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.::Anonymous', ""Arthur Brennan treks into Aokigahara, known as The Sea of Trees, a mysterious dense forest at the base of Japan's Mount Fuji where people go to commit suicide. On his journey to the suicide forest, he encounters Takumi Nakamura, a Japanese man who has lost his way after attempting suicide. The two men begin a journey of reflection and survival, which affirms Arthur's will to live and reconnects him to his love for his wife.::G.BRILLIANT""]","Drama, Fantasy, Mystery","Action, Drama"
"['When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.::Warner Bros', ""Kevin Hart plays the role of Darnell--a family man desperate to get enough money to buy a house in a better area to benefit his family's well-being. He is hired by James (Will Ferrell), a wimpy stock trader who is about to go to prison for 10 years, to prepare him for life behind bars. The catch is that James thinks Darnell is an ex-con--not because Darnell told him that, but because James just assumed.::The Twiz"", ""When obscenely rich hedge-fund manager James (Will Ferrell) is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell (Kevin Hart) - a black businessman who's never even had a parking ticket - for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.""]","Comedy, Crime","Crime, Mystery"
"['Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.::Anonymous', ""In the near future, the Navy develops a fighter jet piloted by an artificial intelligence computer. The jet is placed on an aircraft carrier in the Pacific to learn combat manuevers from the human pilots aboard. But when the computer develops a mind of its own, it's the humans who are charged with stopping it before it incites a war...::austin4577@aol.com""]","Action, Adventure, Sci-Fi, Thriller","Drama, Sci-Fi, Thriller"
"['In Winnipeg, a Filipina woman and a Mennonite man meet and fall for one another.', 'Girl meets Boy. Girl loses Boy. Girl tries out some other boys. Girl gets original Boy back, but now she has a secret. Girl loses Boy again. Boys suck, Girl gets drunk at a party. A romantic comedy about love, and loss, and winter, and banana sauce.']",Comedy,"Comedy, Romance"
"['A shy raised abroad teenager travels to a farmhouse in his birth country and starts discovering his sexuality.', ""The passing away of one of NicolÃ¡s' (17) relatives brings him and his mother to a farmhouse in Chile, where they reconnect with their family. As the days pass, Pacita (13), his cousin, begins to fall in love with NicolÃ¡s while he develops a certain fixation on a farm employee, ZenÃ³n (46).::Thomas Woodroffe""]","Drama, Short","Comedy, Drama"
"['A shipping magnate hires four experts from various fields to investigate what happened to his ships that went missing in the Bermuda Triangle. The team discovers a threat that might unravel time itself and cause the world to end.::Anonymous', 'While chasing a whaler, the Greenpeace boat sinks with the vessel, pulled by a mysterious force underwater and only Meeno Paloma survives. Meanwhile, after the disappearance of six ships in the Bermuda Triangle in one year, the millionaire owner of the Mineral Shipping Lines Eric Benerall hires the skeptical journalist of The Observer Howard Thomas; the scientist Bruce Geller; the offshore engineer Emily Patterson and the psychic Stan Lathem to investigate the reasons for the phenomenon in the area. If the team succeeds in their quest for the truth, each one would receive five million dollars. They find a high-tech underwater facility from the Navy, and each one of them has glimpses of alternative reality after their discovery. They conclude that the experiment conducted by the Navy is affecting the electromagnetic balance of the ocean, while trying to find a way to close the dimensional tear opened by the Philadelphia Experiment. But they believe that the procedure actually will open the Pandora Box and destroy the world.::Claudio Carvalho, Rio de Janeiro, Brazil', 'With his crews and cargo ships disappearing at an alarming rate around the Bermuda Triangle, a billionaire hires a crew full of specialists to understand why. Hand picked by the man himself, the crew consists of a skeptical journalist, an ocean engineer, a scientist, and a psychic. With an attractive financial offer made to each of them, the crew will investigate the legendary, and very mysterious Bermuda Triangle to find answers. But as their findings deepen, the crew finds themselves surrounded by bizarre occurrences that only become all the more nightmarish. The offers made to them may have seem ideal at the time, but now they may have gotten in over their heads against something they may not understand.::mystic80']","Action, Adventure, Drama, Mystery, Sci-Fi, Thriller","Mystery, Sci-Fi, Thriller"
"[""Luis, a successful writer in his thirties, travels to Begur (a small town in the Costa Brava) with the intention of finishing his last book. When he asks his ex wife for the keys, he finds out that she has sold the house. Knowing that the new owner is away from Spain on a trip, Jorge moves in to what used to be his house determined to finish his work. However, Elena, the new owner's daughter, decides to spend a few days in Begur. From this point on confusing situations bring the main characters closer and further away from each other.::Tesela P.C.""]",Comedy,Comedy
"['At university, Prince William and Kate Middleton fall in love. However, their relationship becomes strained under intense media scrutiny.::themadmovieman', ""Handsome, smart, charming prince William, eldest son of Charles prince of Wales, becomes Scotland's oldest university St. Andrews's first-ever royal student, hoping to minimize contact with the press which harassed his mother almost to her fatal car crash. William's inner circle, fellow Etonians and irresistible playful roommate Ian Musgrave, is enlarged with industrialist Michael Middleton's daughter Kate, who becomes his regular girlfriend. prince Charles approves of all of them. During William's long military trainings, the press focuses on 'Waity Katie', who starts doubting if William remains committed to her.::KGF Vissers""]","Biography, Drama, Romance",Romance
"['Have you ever seen IRS agents waste $60,000 of taxpayer money to film Star Trek videos about subduing a planet of anarchists. How about a DARPA video dedicated to defeating the cyber threat from the ""fictional"" state of ""Kuracq?"" Or an internal (fake) news report from a war game scenario about a bioterror attack in the US . . . four months before such an attack took place? Well then you\'re in for a treat in this week\'s edition of #PropagandaWatch.::James Corbett']",Documentary,"Comedy, Documentary"
"['A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it is.::Daniel Jos. Leary', 'Jerry Fletcher is a man in love with a woman he observes from afar. She works for the government. Fletcher is an outspoken critic of that government. He has conspiracy theories for everything, from aliens to political assassinations. But soon, one of his theories finds itself to be accurate. But which one? Some dangerous people want him dead, and the only person he trusts is the woman he loves, but does not know.::Steve Richer <sricher@sympatico.ca>', 'Jerry Fletcher (Mel Gibson) is a New York City taxi driver, who has a strange habit. He makes complicated scenarios of conspiracies and publishes them in a newsletter sent out to five recipients. He keeps doing that, until something unbelievable happens: One of his ""conspiracy theories"" turns out to be real, and so he finds himself chased by the man hiding behind the whole thing.::Chris Makrozahopoulos <makzax@hotmail.com>']","Action, Mystery, Thriller","Action, Mystery, Thriller"
"[""A new student at a soccer academy is determined to beat her rival's team in the national tournament.""]",Family,Sport
"['Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.::Anonymous', ""Barney (Stallone), Christmas (Statham) and the rest of the team comes face-to-face with Conrad Stonebanks (Gibson), who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill - or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables' most personal battle yet.::ahmetkozan"", 'Barney Ross and The Expendables rescue Doc, who has been imprisoned for eight years, from a train that is transporting him to a maximum security prison. Doc teams-up with Barney, Lee Christmas, Gunner, Toll Road and Hale Caesar in the assignment of stopping the dealer Victor Mins during a transaction of bombs. However they discover that the dealer is actually the former Expendable Conrad Stonebanks, who shoots Hale Caesar badly. The Expendables take their friend to the hospital and Barney meets Trench in the waiting room who tells that they are old. Then he has a meeting with the operating officer Max Drummer who had hired The Expendable to kill Victor and he gives one last chance to Barney to fix the problem. Barney concludes that his crew is old and decides to recruit a new and faster team with the support of his friend Bonaparte. Barney hires Thorn, Luna, Mars and the rebel John Smilee and refuses the co-operation of his old team. They head to Bucharest but their mission fails and only Barney escapes from Stonebanks. Now Barney intends to return to rescue his team with the outcast Galgo. However his old team is like a family and they will never leave Barney fighting alone because family fights together to protect a member.::Claudio Carvalho, Rio de Janeiro, Brazil', ""Barney Ross and his team are sent on another job but first he rescues a member of the team who's been in prison for 8 years. After doing that he heads off to do the job: get an arms dealer named Mins, but when Barney sees the man, he recognizes him as Stonebanks, another team member who went rogue whom Barney thought he took care of. He then mortally wounds one of Barney's men. Barney would then be approached by a man named Drummer who's with the CIA, who tells him, he wants Mins or Stonebanks. Barney decides to sever all ties with his men and recruits 4 young people to help him get Stonebanks. And they get him and are bringing him back when his people attack them and Barney gets away. Stonebanks calls him telling him, if he wants his people back come and get them. Barney's willing to go alone but his old team joins him.::rcs0411@yahoo.com"", 'When Barney and Conrad Stonebanks (Mel Gibson) co-founded the Expendables, they were positively unstoppable. Years later, Stonebanks abandoned the team to become a cutthroat arms dealer, and Barney was forced to kill the man he once called a brother. Little did Barney realize that Stonebanks survived, and has been biding his time for revenge ever since. Now the war has begun. Stonebanks is out for blood, and the only way Barney can defeat him is with the help of some tech-savvy new recruits. With Lee Christmas (Jason Statham) and the regular crew backed up by some fresh faces who value brains over brawn, the final battle begins..']","Action, Adventure, Thriller","Action, Adventure, Thriller"
"['Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".::Anonymous', 'An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover\'s Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.::Anonymous', 'Sophie goes to Verona, Italy with her fiancÃ©. There she finds a place where people write heart-breaking letters to Juliet and wait for an answer. Sophie meets the ""secretaries of Juliet"" who write back their letters. When she finds a letter that has been hidden for 50 years, she become a secretary of Juliet and helps the girl find her true love.::Tanaya Naya', 'Sophie, a woman who yearns to be a writer, travels with her fianceon a pre honeymoon to Verona, Italy. Because of her fiances many connections, she is left alone to sightsee. Among the sights she finds the ""Secretaries of Juliet"". There, woman write to women who have left letters to Juliet for love advice. While picking up the letters, she finds one that was written 50 years ago. Being a believer in true love she writes hoping to give the girl the answer she was searching for so long ago. She never expected her to come to Verona, bringing along her very attractive grandson. They soon begin a journey to find the notorious Lorenzo Bartillini.']","Adventure, Comedy, Drama, Romance","Drama, Romance"
"[""The film centers on Joe Paterno, who after becoming the most successful coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims."", ""Paterno centers on Penn State's Joe Paterno (played by Al Pacino) in the aftermath of the Jerry Sandusky sexual abuse scandal. After becoming the winningest coach in college football history, Paterno's legacy is challenged and he is forced to face questions of institutional failure in regard to the victims.""]","Biography, Crime, Drama, Sport",Sport
